xà_rông|n	sarongs_nns;
cheonjiyeon|n	cheonjiyeon_nn;
habana|n	habana_nn;
núi_rừng|n	mountain_nn;
trung_tá|n	colonel_nn;
lễ_vật|n	offerings_nns;
lễ_vật|n	gifts_nns;
bangkok-pattaya|n	bangkok-pattaya_nn;
flyer|nb	flyer_nn;
quần_đùi|n	delacour_nn;
thuyền|n	boat_nn;
lun|n	lun_nn;
ruffino|n	ruffino_nn;
thuỷ_cung|n	aquarium_nn;
pasteur|nu	pasteur_nn;
shrek|nb	shrek_nn;
cienfuegos|n	cienfuegos_nns;
lỡ|v	miss_vb;
chamonixx|n	chamonix_nn;
wta|n	wta_nn;
rạch|n	rach_nn;
vtv|n	vtv_nn;
ecawards|n	ecawards_nns;
tx|n	town_nn;
masaage|n	massages_nns;
grdp|n	grdp_nn;
e-marketing|n	e-marketing_nn;
văn_lâm|n	van_lam_nn;
hisae|n	hisae_nn;
putrajaya|n	putrajaya_nn;
vương_triều|n	chosun_nn;
lăng|n	mausoleum_nn;
www.cgv.vn|np	www.cgv.vn_nn;
resa|n	resa_nn;
jeju|n	jeju_nn;
pm|nu	pm_nn;
văn_miếu|n	vanmieu_nn;
narita|n	narita_nn;
punakha|n	punakha_nn;
tp.hồ_chí_minh|n	HCM city_nn;
liễu|nu	lieu_nn;
takin|n	takin_nn;
linga|n	linga_nn;
everland|n	everland_nn;
stadhuys|n	stadhuys_nns;
faber|nb	faber_nn;
cù_lao|n	culao_nn;
rhine|nb	rhine_nn;
ngườm|n	nguom_nn;
tây_nam_bộ|n	region_nn;
gyeongju|n	gyeongju_nn;
cửa_biển|n	estuary_nn;
viglacera|n	viglacera_nn;
vy|n	vy_nn;
phú_quốc|n	phuquoc_nn;
lucerne|n	lucern_nn;
đá_hoa|n	marble_nn;
bokor|nb	bokor_nn;
www.dpi.phutho.gov.vn|np	www.dpi.phutho.gov.vn_nn;
autarcie|n	autarcie_nn;
văn_bản_học|n	studies_nns;
frauenkirche|n	frauenkirche_nn;
ba_bể|n	babe_nn;
gp|n	gp_nn;
dochula|n	dochula_nn;
thưởng_ngoạn|v	visiting_vbg;
thưởng_ngoạn|v	admire_vbp;
mái_chèo|n	oars_nns;
mun|n	mun_nn;
platinum|n	platinum_nn;
làng_nghề|n	village_nn;
phở|n	pho_nn;
kuala|n	kuala_nn;
nhũ_đá|n	stalactites_nns;
vũng_tàu|n	vungtau_nn;
tuệ|n	tue_nn;
mekong|n	mekong_nn;
coupon|n	coupon_nn;
cồng_chiêng|n	gongs_nns;
u_minh|n	uminh_nn;
sky|n	sky_nn;
vnd|nu	vnd_nn;
năm_căn|n	morning_nn;
vua_chúa|n	emperor_nn;
sình|n	sinh_nn;
hội_thao|n	games_nns;
ngọ|n	ngo_nn;
mưa_lũ|n	flooding_nn;
hđnd|n	council_nn;
áo_cánh|n	blouses_nns;
quí_khách|n	invoices_nns;
giã|v	grinding_vbg;
giã|v	pounding_vbg;
tân_trang|n	array_nn;
sinh_quyển|n	biosphere_nn;
trường_sa|n	archipelagos_nns;
mệnh_danh|v	dubbed_vbn;
danh_lam_thắng_cảnh|n	tourist_nn;
lotte|n	lotte_nn;
chiêm|v	gaze_vb;
ấn_tượng|v	impressed_vbn;
thắng_cảnh|n	landscapes_nns;
hcm|n	hcm_nn;
tâm_linh|n	spirit_nn;
yến|v	swallow_vb;
yến|v	swallow_vb;
thờ_phụng|v	worshipping_vbg;
thái_hoà|n	thaihoa_nn;
gia_lai|n	gialai_nn;
chèo|n	cheo_nn;
vatican|n	vatican_nn;
bãi_tắm|n	beaches_nns;
cầu_giấy|n	caugiay_nn;
cá_bống|n	goby_nn;
cancun|n	cancun_nn;
massage|n	massage_nn;
sư_tử_biển|n	merlion_nn;
sapa|n	sapa_nn;
sentosa|n	sentosa_nn;
tơ_lụa|n	silk_nn;
giặc|n	invaders_nns;
oman|n	oman_nn;
đồng_đăng|n	dongdang_nn;
liệt_sĩ|n	martyrs_nns;
hoàng_sa|n	hoangsa_nn;
tân_bình|n	tanbinh_nn;
webber|nb	webber_nn;
mona|n	mona_nn;
vĩnh|n	vinh_nn;
miến|n	vermicelli_nns;
hải_cẩu|n	seals_nns;
cột_số|n	column_nn;
fantasy|nb	fantasy_nn;
phục_dựng|v	restoring_vbg;
sơn_la|n	sonla_nn;
vina|n	vina_nn;
travel|n	travel_nn;
thần_tích|n	legends_nns;
hạ_long|n	halong_nn;
tạp_kỹ|n	guangdong_nn;
xe_điện|n	trams_nns;
nước_chấm|n	fish-bowel-sauce_nn;
sheep|n	sheep_nn;
hương_ước|n	conventions_nns;
mít|n	jackfruit_nn;
cá_cảnh|n	aquarium_nn;
slogan|nb	slogan_nn;
khơme|n	khome_nn;
toà_thánh|n	vatican_nn;
thiến|n	pig_nn;
ninh_bình|n	ninhbinh_nn;
cung_đình|n	royal_nn;
cung_đình|n	court_nn;
bangkok|n	bangkok_nn;
nương|n	nuong_nn;
kéo_co|v	tugging_vbg;
thiều|n	thieu_nn;
justine|n	justine_nn;
philippin|n	philippines_nns;
cá_heo|n	dolphins_nns;
kiệu|n	palanquin_nn;
tp.hcm|n	hcmc_nn;
pleiku|n	pleiku_nn;
hán|n	han_nn;
hoàng_cung|n	palace_nn;
cỏi|n	coi_nn;
buôn_làng|n	villages_nns;
mê_kông|n	delta_nn;
cố_đô|n	monuments_nns;
bún|n	jellyfish_nn;
myanmar|n	myanmar_nn;
huy|n	huy_nn;
đèo|n	pass_nn;
công_nghệ_sinh_học|n	bio-technology_nn;
cung_điện|n	palace_nn;
po|n	po_nn;
tôn_kính|v	express_vb;
versailles|nb	versailles_nns;
liên_hoan|n	festival_nn;
nhà_chọc_trời|n	skyscrapers_nns;
trầu|n	piper_nn;
trầu|n	betel_nn;
murano|n	murano_nn;
chao|v	owned_vbn;
bộ_chính_trị|n	politburo_nn;
bàng|n	bang_nn;
phình|n	phinh_nn;
làng_mạc|n	foot_nn;
clb|n	clubs_nns;
trĩ|n	quails_nns;
album|nb	album_nn;
triều_đại|n	dynasties_nns;
thường_vụ|n	standing_nn;
hạc|n	cranes_nns;
dhabi|n	dhabi_nns;
paro|nb	paro_nn;
tu_viện|n	monastery_nn;
plaza|n	plaza_nn;
trinidad|n	trinidad_nn;
khai_quật|v	excavated_vbn;
pasteur|nb	pasteur_nn;
tưởng_nhớ|v	memorizing_vbg;
tưởng_nhớ|v	commemorate_vb;
australia|n	australia_nns;
lướt_sóng|n	surfing_nn;
cầu_nguyện|v	praying_vbg;
cầu_nguyện|v	pray_vb;
tự_túc|v	excluded_vbn;
đá_vôi|n	limestone_nn;
hải_tặc|n	pirate_nn;
malta|n	malta_nn;
phượng|n	phuong_nn;
lumpur|n	lumpur_nn;
toạ_đàm|n	seminar_nn;
blogger|n	bloggers_nns;
ward|nb	ward_nn;
chế_phẩm|n	water_nn;
hoàng_tộc|n	royal_nn;
market|nb	market_nn;
mến|n	men_nns;
alley|n	alley_nn;
thư_giãn|v	relax_vb;
thư_giãn|v	relaxing_vbg;
cứ_điểm|n	abysses_nns;
cây_ăn_trái|n	fruit_nn;
nami|n	nami_nn;
hướng_dẫn_viên|n	guide_nn;
hướng_dẫn_viên|n	explanation_nn;
cá_sấu|n	lepisosteus_nn;
lết|v	let_vb;
thợ_mộc|n	carpenters_nns;
israel|n	israel_nn;
ninh|n	ninh_nn;
chợ_phiên|n	market_nn;
thánh_địa|n	shrine_nn;
nhà_khảo_cổ|n	archaeologists_nns;
phật_giáo|n	buddhist_nn;
uốn_lượn|v	meandering_vbg;
cẩm_thạch|n	marble_nn;
chiêm_ngưỡng|v	admire_vbp;
pháo_đài|n	fortress_nn;
cocktail|nb	cocktail_nn;
india|n	india_nn;
asia|n	asia_nns;
bhutan|n	bhutan_nn;
tiger|n	tiger_nn;
tổng_cục|n	general_nn;
alliance|n	alliance_nn;
tiếp_viên|n	crew_nn;
dubai|n	dubai_nn;
ubnd|n	committees_nns;
áo_ấm|n	sweaters_nns;
pci|n	pci_nn;
mè|n	sesame_nn;
spa|n	spa_nn;
hải_dương|n	haiduong_nns;
đà_nẵng|n	danang_nn;
giàng|n	giang_nn;
thăm_quan|v	visit_vb;
vườn_quốc_gia|n	bidoup_nn;
cầu_phúc|v	bless_vb;
thần_linh|n	gods_nns;
dùi|n	phet_nn;
diệp|n	church_nn;
đầm_phá|n	lagoons_nns;
madagascar|nb	madagascar_nn;
mê_mẩn|v	do_vb;
thầy_giáo|n	teacher_nn;
cup|n	cup_nn;
hình_thù|n	shapes_nns;
tel|n	tel_nn;
buffet|nb	buffet_nn;
thiên_nga|n	swans_nns;
hồi_giáo|n	mosque_nn;
baan|n	baan_nn;
bội_thu|n	crops_nns;
quyền_uy|n	power_nn;
canô|n	canoeing_nn;
di_chỉ|n	relics_nns;
giáo_hoàng|n	pope_nn;
seoul|n	seoul_nn;
cá_trích|n	sharpbelly_nn;
cẩm|n	cam_nn;
limited|n	holdings_nns;
văn_hiến|n	civilization_nn;
chào_đón|v	welcome_vb;
mâu|n	mounigou_nn;
cổ_vật|n	antiques_nns;
samsung|n	samsung_nn;
yên_bình|n	peacefulness_nn;
khánh|n	khanh_nn;
diamond|n	diamond_nn;
hạt_tiêu|n	pepper_nn;
đấu_trường|n	colosseum_nn;
đèn_lồng|n	lanterns_nns;
cối_xay_gió|n	windmills_nns;
circle|n	circle_nn;
florence|nb	florence_nn;
quần_vợt|n	tennis_nn;
farm|nb	sheep_nn;
cửu|n	jiuzhaigou_nn;
tày|n	tay_nn;
penh|n	penh_nn;
nhạc_sỹ|n	composer_nn;
tỷ_phú|n	baan_nn;
croatia|n	croatia_nn;
spring|n	spring_nn;
huế|n	hue_nn;
tỉnh_uỷ|n	secretary_nn;
vông|n	vong_nn;
lũng|n	lung_nn;
indonesia|n	indonesia_nn;
ttg|n	ttg_nn;
golf|n	golf_nn;
trung_du|n	midland_nn;
marina|n	marina_nn;
phi_trường|n	airport_nn;
chinh_phục|v	climb_vbp;
chinh_phục|v	conquer_vb;
cứ_liệu|n	evidence_nn;
mạc|n	mac_nn;
mát-xcơ-va|n	moscow_nn;
vẹt|n	parrots_nns;
nuôi_cấy|n	pearls_nns;
pháo_hoa|n	fireworks_nns;
phong_tục|n	traditions_nns;
paris|nb	paris_nns;
cối|n	mortar_nn;
vinh_danh|v	honored_vbn;
vinh_danh|v	honor_vb;
vinh_danh|v	honored_vbn;
vinh_danh|v	honoured_vbn;
cuba|n	cuba_nn;
tông|n	tong_nn;
airlines|n	airlines_nns;
niagara|n	niagara_nn;
địa_bàn|n	area_nn;
địa_bàn|n	location_nn;
địa_bàn|n	province_nn;
rome|n	rome_nn;
triền|n	verge_nn;
mexico|n	mexico_nn;
ca_nhạc|n	chamber_nn;
rang|v	rang_vbd;
sáp|n	wax_nn;
paris|n	paris_nns;
việt|n	viet_nn;
dùng_bữa|n	dinner_nn;
công_chúa|n	princess_nn;
bộ_lạc|n	tribe_nn;
sài_gòn|n	saigon_nn;
giáp|n	giáp_nn;
lâu_đài|n	castle_nn;
hindu|n	devotees_nns;
airlines|nb	airlines_nns;
ươm|v	communicate_vb;
cloud|n	cloud_nn;
chiến_sỹ|n	police_nn;
chiến_sỹ|n	soldiers_nns;
hình_tượng|n	images_nns;
post|n	post_nn;
chào_mừng|v	celebrate_vb;
nghĩa_trang|n	cemetery_nn;
nghĩa_trang|n	cemeteries_nns;
thành_đô|n	chengdu_nn;
di_tích|n	relics_nns;
di_tích|n	monuments_nns;
di_tích|n	sites_nns;
strasbourg|n	strasbourg_nn;
thung_lũng|n	valleys_nns;
thung_lũng|n	valley_nn;
nghi_lễ|n	ritual_nn;
vách|n	cliff_nn;
huyện|n	district_nn;
kỳ_quan|n	wonders_nns;
công_thương|n	industry_nn;
lisbon|n	lisbon_nn;
cầu_treo|n	serepok_nn;
buffalo|n	buffalo_nn;
barcelona|n	barcelona_nns;
thanh_thuỷ|n	thanhthuy_nn;
thời_trang|n	fashion_nn;
israel|nb	influences_nns;
khởi_nghĩa|v	memorizing_vbg;
gừng|n	ginger_nn;
alps|n	alps_nns;
sở_thích|n	hobbies_nns;
tràm|n	tram_nn;
tràm|n	cajeput_nn;
chia_cắt|v	divided_vbn;
hemingway|n	hemingway_nn;
tiết_mục|n	repertoire_nn;
diễn_đàn|n	forum_nn;
cabin|n	cabin_nn;
diên|n	dien_nn;
văn_chương|n	literature_nn;
kim_cương|n	diamond_nn;
tỏi|n	garlic_nn;
công_giáo|n	catholics_nns;
karaoke|nb	karaoke_nn;
khai_trương|v	opened_vbd;
sun|n	sun_nn;
campuchia|n	cambodia_nn;
nha|n	nha_nn;
truyền_thuyết|n	legend_nn;
tour|nb	tour_nn;
quân_chủ|n	monarchy_nn;
mê-hi-cô|n	mexico_nn;
thuỷ_điện|n	lake_nn;
miếu|n	shrine_nn;
thiên_đường|n	paradise_nn;
đàm|n	dam_nn;
triết_lý|n	philosophy_nn;
biến_động|n	changes_nns;
dùng_bữa|v	enjoy_vb;
dùng_bữa|v	have_vb;
festival|n	festival_nn;
sứa|n	jellyfish_nn;
đan_mạch|n	denmark_nn;
mõm|n	oculatus_nn;
đường_kính|n	diameter_nn;
châu_mỹ|n	americas_nns;
nước_khoáng|n	mineral_nn;
hoàng_gia|n	royal_nn;
đài_phát_thanh|n	radio_nn;
iucn|n	iucn_nn;
sắc_màu|n	colors_nns;
vô_địch|n	championships_nns;
thái_lan|n	thailand_nn;
sông_cửu_long|n	delta_nn;
mỹ_phẩm|n	cosmetic_nn;
mỹ_thuật|n	art_nn;
biển_cả|n	sea_nn;
đèn_điện|n	lanterns_nns;
xoài|n	mango_nn;
du_ngoạn|v	go_vb;
thăng|n	thang_nn;
dân_tộc_học|n	ethnology_nn;
danh_hiệu|n	award_nn;
đài_loan|n	taiwan_nn;
bar|nb	bar_nn;
hưng|v	hung_vbd;
đón_tiếp|v	renovated_vbn;
dàn_nhạc|n	orchestras_nns;
dàn_nhạc|n	orchestra_nn;
vietnam|n	vietnam_nn;
mông|n	mong_nn;
quản_đốc|n	manager_nn;
tuấn|n	tuan_nn;
ba_lan|n	poland_nn;
hang_động|n	caves_nns;
hang_động|n	grottos_nns;
ớt|n	chili_nns;
ớt|n	chillies_nns;
hoa_văn|n	patterns_nns;
mùa_màng|n	crops_nns;
địa_ngục|n	hell_nn;
đài_truyền_hình|n	tv_nn;
visa|nb	visa_nn;
tư_liệu|n	documentary_nn;
nhấp_nháy|v	flashing_vbg;
tổng_thu|n	receipts_nns;
quy_hoạch|v	executed_vbn;
tín_ngưỡng|n	belief_nn;
tín_ngưỡng|n	worship_nn;
tràng|v	trang_vbg;
fdi|n	fdi_nn;
san_hô|n	coral_nn;
san_hô|n	atoll_nn;
thôn|n	hamlets_nns;
thôn|n	villages/hamlets_nns;
võ|n	vo_nn;
nghệ_nhân|n	artists_nns;
nghệ_nhân|n	artisans_nns;
đóng_góp|n	contributions_nns;
mạo|n	mạo_nn;
philippines|n	philippines_nns;
thuyết_minh|v	listen_vb;
tái_hiện|v	reproduces_vbz;
xuồng|n	canoe_nn;
sứ_mệnh|n	mission_nn;
phước|n	phuoc_nn;
pisa|n	pisa_nn;
tụ_tập|v	gathered_vbn;
chày|n	pestle_nn;
thọ|n	tho_nn;
địa_danh|n	place_nn;
tằm|n	tam_nn;
lòng_chảo|n	glissette_nn;
đất_sét|n	clay_nn;
tiễn|v	takes_vbz;
mòng|n	mong_nn;
dơi|n	bats_nns;
dơi|n	bats_nns;
bầu_không_khí|n	atmosphere_nn;
kênh_rạch|n	canals_nns;
côn|n	kunming_nn;
chèo|v	boating_vbg;
ngọc_trai|n	pearl_nn;
cấm_thành|v	roofed_vbn;
mụ|n	mu_nn;
phim_hoạt_hình|n	cartoon_nn;
hoa_quả|n	fruit_nn;
chủ_trương|n	approval_nn;
trạch|n	trach_nn;
tây|np	west_nn;
giao_thoa|n	acculturation_nn;
hình_khối|n	parts_nns;
hệ_sinh_thái|n	ecosystems_nns;
hệ_sinh_thái|n	ecosystem_nn;
lợn|n	pork_nn;
lợn|n	pigs_nns;
lăng|n	mausoleum_nn;
lăng|n	tomb_nn;
lăng|n	lang_nn;
bưởi|n	pomelo_nn;
hòn|n	hon_nn;
cá_mập|n	napoleon_nn;
phù|n	phu_nn;
ví_như|n	window_nn;
kỷ_lục|n	records_nns;
kỷ_lục|n	guinness_nn;
disneyland|n	disneyland_nn;
nhà_vệ_sinh|n	wc_nn;
napoleon|n	napoleon_nn;
cựu_chiến_binh|n	veteran_nn;
tuyền|n	therapy_nn;
sào|nu	sao_nn;
quý_khách|n	tourists_nns;
mỹ_nghệ|n	crafts_nns;
mỹ_nghệ|n	handicrafts_nns;
quế|n	que_nn;
khung_cảnh|n	space_nn;
khung_cảnh|n	scene_nn;
khung_cảnh|n	setting_nn;
chia_tay|v	come_vb;
royal|n	royal_nn;
toạ_độ|n	landmark_nn;
gióng|n	giong_nn;
lam|n	abysses_nns;
khánh_thành|v	established_vbn;
khánh_thành|v	inaugurated_vbn;
lao_động|v	work_vb;
bồ_đào_nha|n	portugal_nn;
cơ_giới|n	vehicles_nns;
nha_trang|n	nhatrang_nn;
đặc_sản|n	specialties_nns;
đặc_sản|n	specialty_nn;
sư_tử|n	lion_nn;
bản_sắc|n	identity_nn;
marketing|n	marketing_nn;
bán_đảo|n	peninsula_nn;
hội_chợ|n	expo_nn;
hội_chợ|n	mart_nnp;
hội_chợ|n	framework_nn;
hội_chợ|n	exhibition_nn;
biệt_thự|n	villas_nns;
bí_thư|n	secretary_nn;
hương_vị|n	taste_nn;
thẩm_quyền|n	jurisdiction_nn;
học_viên|n	trainees_nns;
khởi_hành|v	departs_vbz;
khởi_hành|v	go_vb;
khởi_hành|v	return_vb;
khởi_hành|v	begin_vb;
khởi_hành|v	move_vb;
khởi_hành|v	arrive_vb;
rồng|n	rong_nn;
rồng|n	dragon_nn;
bảo_tàng|n	museum_nn;
bảo_tàng|n	museums_nns;
len_lỏi|v	creeping_vbg;
đại_biểu|n	delegates_nns;
khẩu|nc	hekou_nn;
nấm|n	mushroom_nn;
panama|n	panama_nn;
bộ_trưởng|n	minister_nn;
lộc|n	barringtonia_nn;
lộc|n	loc_nn;
madrid|n	madrid_nn;
nhà_đầu_tư|n	investors_nns;
nhà_đầu_tư|n	investor_nn;
trưng_bày|v	exhibits_vbz;
hộ_chiếu|n	passport_nn;
khách_sạn|n	hotel_nn;
ngư_dân|n	fishermen_nns;
thị_thực|n	e-visa_nn;
thị_thực|n	visa_nn;
xiếc|n	circus_nn;
cưỡi|v	riding_vbg;
logo|nb	logo_nn;
việt_nam|n	vietnam_nn;
hàn_quốc|n	korea_nn;
malaysia|n	malaysia_nn;
hollywood|n	hollywood_nn;
các_bon|n	emissions_nns;
hoà_mình|v	mix_vb;
hoà_mình|v	mixing_vbg;
cao_nguyên|n	plateau_nn;
triển_vọng|n	prospects_nns;
du_khách|n	tourists_nns;
du_khách|n	visitors_nns;
nhạc_cụ|n	instruments_nns;
tôn_giáo|n	religion_nn;
lãng_quên|v	forgotten_vbn;
dân_gian|n	folk_nn;
dân_gian|n	zori_nns;
giang|n	giang_nn;
úc|n	australia_nn;
mặt_bằng|n	cut_nn;
bến|n	wharf_nn;
đồng_chí|n	mr.hoang_nn;
cau|n	piper_nn;
vừng|n	barringtonia_nn;
vàng_bạc|n	jewelry_nn;
vàng_bạc|n	gems_nns;
viếng|v	visit_vb;
nhập_khẩu|v	imported_vbn;
du_lịch|n	tourism_nn;
venice|n	venice_nn;
phà|n	ferry_nn;
chặng|n	airways_nns;
chốn|n	fairyland_nn;
nhập_cảnh|v	enter_vb;
trái_cây|n	fruit_nn;
heo|n	pigs_nns;
điều_lệ|n	regulation_nn;
michelangelo|n	michelangelo_nn;
lều|n	tents_nns;
nhà_hát|n	scala_nn;
nhà_hát|n	theater_nn;
sinh_hoạt|n	dining_nn;
sinh_hoạt|n	festivals_nns;
nhân_văn|n	affections_nns;
dép|n	slippers_nns;
thanh_toán|v	paying_vbg;
tp|n	city_nn;
q|n	district_nn;
vịt|n	duck_nn;
tàu_hoả|n	train_nn;
sương|n	fog_nn;
sương|n	suong_nn;
kho_tàng|n	treasure_nn;
mao|n	mao_nn;
hoàng_hôn|n	sunset_nn;
văn_học|n	literature_nn;
sảnh|n	lobby_nn;
đa_dạng_hoá|v	diversify_vb;
đá_quý|n	jewelry_nn;
quảng_trường|n	square_nn;
quảng_trường|n	forum_nn;
golf|nb	golf_nn;
biên_bản|n	memorandum_nn;
che_chở|v	covered_vbn;
gian_hàng|n	stalls_nns;
tượng_trưng|v	represents_vbz;
tượng_trưng|v	symbolizing_vbg;
mái|nc	roof_nn;
dân_làng|n	villagers_nns;
tham_dự|v	attends_vbz;
tham_dự|v	attend_vb;
hoà_quyện|v	intertwined_vbn;
nhà_bếp|n	kitchen_nn;
cộng_hoà|n	republic_nn;
hà_nội|n	hanoi_nns;
lưu_trú|v	staying_vbg;
đồng_bào|n	compatriots_nns;
đồng_bào|n	patients_nns;
môtô|n	motoring_nn;
hồ_sơ|n	documents_nns;
giám_đốc_điều_hành|n	ceo_nn;
ngô|n	maize_nn;
ngô|n	corn_nn;
iran|n	iran_nn;
sưu_tầm|v	compile_vb;
kg|nu	kg_nn;
linh_kiện|n	components_nns;
vương|n	kings_nns;
vương|n	vuong_nn;
website|ny	website_nn;
kỷ_niệm|n	anniversary_nn;
cò|n	storks_nns;
gốm|n	pottery_nn;
gốm|n	ceramics_nns;
phơi|v	dried_vbn;
sân_chơi|n	playground_nn;
xe_máy|n	motorbike_nn;
lễ_hội|n	festivals_nns;
lễ_hội|n	christmas_nns;
toạ_lạc|v	situated_vbn;
toạ_lạc|v	locating_vbg;
toạ_lạc|v	located_vbn;
bệ|n	pedestal_nn;
chi_nhánh|n	branches_nns;
trà|n	tea_nn;
melbourne|n	melbourne_nn;
sân_vận_động|n	stadium_nn;
nguyên_thủ|n	state_nn;
berlin|n	berlin_nn;
chè|n	tea_nn;
yên|n	yen_nn;
cương|n	cuong_nn;
nhà_nghiên_cứu|n	researchers_nns;
hiện_vật|n	objects_nns;
trống|n	drums_nns;
ge|n	ge_nn;
gạo|n	rice_nn;
thẩm|n	shenzhen_nn;
đan|v	weaving_vbg;
nê|n	ne_nn;
phú|v	phu_vbp;
xứ_sở|n	country_nn;
xứ_sở|n	land_nn;
mm|nu	mm_nn;
khí_thải|n	carbon_nn;
park|nb	park_nn;
gươm|n	sword_nn;
world|nb	world_nn;
ngắm|v	admire_vbp;
ngắm|v	gaze_vb;
ngắm|v	watch_vb;
ngắm|v	view_vb;
nhiếp_ảnh_gia|n	photographer_nn;
chài|n	fishing_nn;
diễn_viên|n	actors_nns;
tần_suất|n	frequency_nn;
data|n	data_nns;
ngoài_trời|n	outdoors_nns;
đánh_số|v	numbered_vbd;
ao|n	ao_nn;
ngọc|n	pearl_nn;
ngọc|n	ngoc_nn;
thương_hiệu|n	brands_nns;
thương_hiệu|n	brand_nn;
đại_hội|n	congress_nn;
phê_duyệt|v	approving_vbg;
bạch|n	bach_nn;
vùng_đệm|n	buffer_nn;
bắc|np	north_nn;
tết|n	tet_nn;
nhà_tài_trợ|n	donors_nns;
nhà_tài_trợ|n	sponsor_nn;
tiêu_chí|n	criteria_nns;
siêu_thị|n	supermarkets_nns;
cốc|n	coc_nn;
tre|n	bamboo_nn;
nghĩa_đen|n	flavor_nn;
lầu|n	floor_nn;
lầu|n	lau_nn;
nghị_quyết|n	resolution_nn;
nghiệp_vụ|n	diver_nn;
thành_tựu|n	achievements_nns;
điêu_khắc|n	sculptures_nns;
điêu_khắc|n	sculpture_nn;
hạng_mục|n	items_nns;
thực_trạng|n	situation_nn;
đường_mòn|n	path_nn;
tín_đồ|n	hindu_nn;
roma|n	rome_nn;
bình_chọn|v	voted_vbn;
rạn|n	reefs_nns;
cống|n	cong_nn;
nước_thải|n	wastewater_nn;
chòi|n	house_nn;
vinh|n	vinh_nn;
xe_lửa|n	train_nn;
rơm|n	straw_nn;
sồi|n	oak_nn;
sứ|n	ceramics_nns;
ngã|n	confluence_nn;
hạ_tầng|n	infrastructure_nn;
cốt_lõi|n	core_nn;
giời|n	gioi_nns;
phường|n	ward_nn;
phường|n	guilds_nns;
vui_chơi|v	play_vb;
thác|n	waterfall_nn;
thác|n	waterfalls_nns;
dừa|n	coconut_nn;
thiếu_nhi|n	children_nns;
phóng_viên|n	journalists_nns;
phóng_viên|n	reporters_nns;
hà|n	ha_nn;
nhà_tù|n	prison_nn;
nhà_tù|n	cells_nns;
tập_quán|n	traditions_nns;
hải_sản|n	seafood_nn;
thương_nhân|n	traders_nns;
city|n	city_nn;
mùa_xuân|n	spring_nn;
xuân|n	xuan_nn;
sữa|n	milk_nn;
châu|n	guangzhou_nn;
châu|n	chau_nn;
sydney|n	sydney_nn;
